#cdf.institution list from http://www-cdf.fnal.gov/collaboration/
#institution/city/state/zip/country
institution,city,state,zip,country
Academia Sinica,Taipei,Taiwan,11529,Republic of China
Argonne National Laboratory,Argonne,Illinois,60439,USA
Institut de Fisica d'Altes Energies,NA,Barcelona,NA,Spain
Universitat Autonoma de Barcelona,NA,Bellaterra,NA,Spain
Baylor University,Waco,Texas,76798,USA
Brandeis University,Waltham,Massachusetts,02254,USA
University of California at Davis,Davis,California,95616,USA
University of California at Los Angeles,Los Angeles,California,90095,USA
University of California at San Diego,San Diego,California,NA,USA
University of California at Santa Barbara,Santa Barbara,California,93106,USA
Instituto de Fisica de Cantabria,Cantabria,Santander,39005,Spain
University of Cantabria,Cantabria,Santander,39005,Spain
Carnegie Mellon University,Pittsburgh,Philadelphia,15218,USA
University of Chicago,Chicago,Illinois,60637,USA
Joint Institute for Nuclear Research,NA,Dubna,141980,Russia
Duke University,Durham,North Carolina,27708,USA
Fermi National Accelerator Laboratory,Batavia,Illinois,60510,USA
University of Florida,Gainesville,Florida,33611,USA
University of Geneva,NA,Geneva,1211,Switzerland
Glasgow University,NA,Glasgow,G128QQ,United Kingdom
Harvard University,Cambridge,Massachusetts,02138,USA
University of Helsinki,NA,NA,NA,Finland
University of Illinois,Urbana,Illinois,61801,USA
University of Bologna,NA,Bologna,40126,Italy
Laboratori Nazionali di Frascati,NA,Frascati,00044,Italy
Universita di Padova,NA,Padova,I-35131,Italy
Sezione di Padova,NA,Padova,I-35131,Italy
University and Scuola Normale Superiore of Pisa,NA,Pisa,I-56000,Italy
University di Roma I,NA,Roma,I-00185,Italy
Trieste,NA,Udine,34012,Italy
Universita di Udine,NA,Udine,33100,Italy
McGill University,NA,Montreal,H3A 2T8,Canada
University of Toronto,NA,Toronto,M5S 1A7,Canada
Institute for Theoretical and Experimental Physics,NA,Moscow,117218,Russia
The Johns Hopkins University,Baltimore,Maryland,21218,USA
Universitaet Karlsruhe,NA,Karlsruhe,76128,Germany
National Laboratory for High Energy Physics,Tsukuba,Ibaraki,305,Japan
Kyungpook National University,NA,Taegu,702-701,Korea
Seoul National University,NA,Seoul,151-742,Korea
SungKyunKwan University,NA,Suwon,440-746,Korea
Lawrence Berkeley National Laboratory,Berkeley,California,94729,USA
University of Liverpool,NA,Liverpool,L69 7ZE,United Kingdom
University College London,NA,London,WC1E 6BT,United Kingdom
CIEMAT,NA,Madrid,28040,Spain
Massachusetts Institute of Technology (MIT),Cambridge,Massachusetts,02139,USA
Michigan State University,East Lansing,Michigan,48824,USA
University of Michigan,Ann Arbor,Michigan,48109,USA
University of New Mexico,Albuquerque,New Mexico,87131,USA
Northwestern University,Evanston,Illinois,60208,USA
The Ohio State University,Columbus,Ohio,43320,USA
Osaka City University,NA,Osaka,588,Japan
Okayama University,NA,Okayama,700,Japan
University of Oxford,NA,Oxford,OX1 3RH,United Kingdom
LPNHE and CNRS-IN2P3 - Paris4,Place Jussieu,Paris,75252,France
University of Pennsylvania,Philadelphia,Pennsylvania,19104,USA
University of Pittsburgh,Pittsburgh,Pennsylvania,15260,USA
Purdue University,West Lafayette,Indiana,47907,USA
University of Rochester,Rochester,New York,14627,USA
Rockefeller University,New York,New York,10021,USA
Rutgers University,Piscataway,New Jersy,08854,USA
Texas A&M University,College Station,Texas,77843,USA
Tufts University,Medford,Massachusetts,02155,USA
University of Tsukuba,Tsukuba,Ibaraki,305,Japan
Waseda University,NA,Tokyo,169,Japan
Wayne State University,Detroit,Michigan,48202,USA
University of Wisconsin,Madison,Wisconsin,53706,USA
Yale University,New Haven,Connecticut,06511,USA
