PassengerId,Survived
1,1
2,2
3,2
4,2
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,1
14,1
15,2
16,2
17,1
18,1
19,2
20,2
21,1
22,1
23,2
24,1
25,2
26,2
27,1
28,1
29,2
30,1
31,1
32,2
33,2
34,1
35,1
36,1
37,1
38,1
39,2
40,2
41,2
42,2
43,1
44,2
45,2
46,1
47,1
48,2
49,1
50,2
51,1
52,1
53,2
54,2
55,1
56,1
57,2
58,1
59,2
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,2
68,1
69,2
70,1
71,1
72,2
73,1
74,1
75,1
76,1
77,1
78,1
79,2
80,2
81,1
82,1
83,2
84,1
85,2
86,2
87,1
88,1
89,2
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,2
100,1
101,2
102,1
103,1
104,1
105,1
106,1
107,2
108,1
109,1
110,2
111,1
112,2
113,1
114,2
115,2
116,1
117,1
118,1
119,1
120,2
121,1
122,1
123,1
124,2
125,1
126,1
127,1
128,1
129,2
130,1
131,1
132,1
133,2
134,2
135,1
136,1
137,2
138,1
139,1
140,1
141,2
142,2
143,2
144,1
145,1
146,1
147,1
148,2
149,1
150,1
151,1
152,2
153,1
154,1
155,1
156,1
157,2
158,1
159,1
160,1
161,1
162,2
163,1
164,1
165,2
166,1
167,2
168,2
169,1
170,1
171,1
172,1
173,2
174,1
175,1
176,1
177,1
178,2
179,1
180,1
181,2
182,1
183,1
184,2
185,2
186,1
187,2
188,1
189,1
190,1
191,2
192,1
193,2
194,2
195,2
196,2
197,1
198,1
199,2
200,2
201,1
202,1
203,1
204,1
205,1
206,2
207,1
208,1
209,2
210,1
211,1
212,2
213,1
214,1
215,1
216,2
217,2
218,1
219,2
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,2
231,2
232,1
233,1
234,2
235,1
236,2
237,1
238,2
239,1
240,1
241,2
242,2
243,1
244,1
245,1
246,1
247,2
248,2
249,1
250,1
251,1
252,2
253,1
254,1
255,2
256,2
257,2
258,2
259,2
260,2
261,1
262,2
263,1
264,1
265,2
266,1
267,1
268,1
269,2
270,2
271,1
272,1
273,2
274,1
275,2
276,2
277,2
278,1
279,1
280,2
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,2
291,2
292,2
293,1
294,2
295,1
296,1
297,1
298,2
299,1
300,2
301,2
302,1
303,1
304,2
305,1
306,2
307,2
308,2
309,1
310,2
311,2
312,2
313,2
314,1
315,1
316,2
317,2
318,1
319,2
320,2
321,1
322,1
323,2
324,2
325,1
326,2
327,1
328,2
329,2
330,2
331,2
332,1
333,1
334,1
335,2
336,1
337,1
338,2
339,1
340,1
341,1
342,2
343,1
344,1
345,1
346,2
347,2
348,2
349,2
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,2
358,2
359,2
360,2
361,1
362,1
363,2
364,1
365,1
366,1
367,2
368,2
369,2
370,2
371,1
372,1
373,1
374,1
375,2
376,2
377,2
378,1
379,1
380,1
381,2
382,2
383,1
384,2
385,1
386,1
387,2
388,2
389,1
390,2
391,1
392,1
393,1
394,2
395,2
396,1
397,2
398,1
399,1
400,2
401,1
402,1
403,2
404,1
405,2
406,1
407,1
408,2
409,1
410,2
411,1
412,1
413,2
414,1
415,1
416,2
417,2
418,2
419,1
420,2
421,1
422,1
423,1
424,2
425,1
426,1
427,2
428,2
429,1
430,1
431,1
432,2
433,2
434,1
435,1
436,2
437,2
438,2
439,1
440,1
441,2
442,1
443,1
444,2
445,1
446,1
447,2
448,1
449,2
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,2
459,2
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,2
471,1
472,1
473,2
474,2
475,2
476,1
477,1
478,1
479,1
480,2
481,1
482,1
483,1
484,2
485,1
486,2
487,2
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,2
498,1
499,2
500,1
501,1
502,2
503,2
504,2
505,2
506,1
507,2
508,1
509,1
510,1
511,1
512,1
513,1
514,2
515,1
516,1
517,2
518,1
519,2
520,1
521,2
522,1
523,1
524,2
525,1
526,1
527,2
528,1
529,1
530,1
531,2
532,1
533,1
534,2
535,2
536,2
537,1
538,2
539,1
540,2
541,2
542,2
543,2
544,1
545,1
546,1
547,2
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,2
556,1
557,2
558,1
559,2
560,2
561,1
562,1
563,1
