"Hispanic origin - Total"
"Race - Total"
"Sex - Total"

Age,"Total","under 1","1-4","5-9","10-14","15-44","15-24","15-19","15-17","18-19","20-24","25-34","25-29","30-34","35-44","35-39","40-44","45-54","45-49","50-54","55-64","65-74","75-84","85 and over"
"State",
"Alabama",4447100,59101,236891,315345,320252,1919972,631445,324580,191833,132747,306865,603015,301196,301819,685512,340300,345212,600209,315173,285036,415532,316748,195749,67301
"Alaska",626932,9361,38230,53771,56661,293508,89986,50094,32694,17400,39892,89473,42987,46486,114049,55723,58326,94952,53515,41437,44750,22507,10558,2634
"Arizona",5130632,77421,304965,389869,378211,2242051,730582,367722,216481,151241,362860,742665,374106,368559,768804,392687,376117,627904,331903,296001,442372,363841,235473,68525
"Arkansas",2673400,36065,145520,187224,192935,1131335,380363,198765,118625,80140,181598,352845,176674,176171,398127,200340,197787,349519,181913,167606,256783,198334,129193,46492
"California",33871648,483143,2003838,2725880,2570822,15546579,4832176,2450888,1466146,984742,2381288,5229062,2543541,2685521,5485341,2814743,2670598,4331635,2331792,1999843,2614093,1887823,1282178,425657
"Colorado",4301261,60823,236682,308428,311497,2014326,613476,307238,183365,123873,306238,664027,331795,332232,736823,366092,370731,614125,334855,279270,339307,226310,141547,48216
"Connecticut",3405565,42719,180625,244144,241587,1436887,404198,216627,132613,84014,187571,451640,201467,250173,581049,290866,290183,480807,252754,228053,308613,231565,174345,64273
"Delaware",783600,10286,41245,55813,55274,343738,107297,55632,31969,23663,51665,108840,51219,57621,127601,64654,62947,103999,54775,49224,71519,56415,34762,10549
"District of Columbia",572059,6518,26018,35385,30018,279129,89690,37867,17053,20814,51823,101762,52849,48913,87677,45949,41728,75310,39397,35913,49783,35919,25004,8975
"Florida",15982378,186977,758846,1031718,1057024,6511724,1942377,1014067,611775,402292,928310,2084100,995358,1088742,2485247,1261040,1224207,2069479,1085400,984079,1559013,1452176,1024134,331287
"Georgia",8186453,120992,474158,615584,607759,3841237,1188473,596277,350741,245536,592196,1299256,641750,657506,1353508,698735,654773,1079992,573017,506975,661456,435695,261723,87857
"Hawaii",1211537,15464,62699,84980,83106,526747,164411,81002,49518,31484,83409,171159,84000,87159,191177,95935,95242,170979,90404,80575,106961,85262,57775,17564
"Idaho",1293953,19700,77943,100756,104608,567253,204852,110858,66023,44835,93994,169433,85128,84305,192968,94913,98055,170248,92172,78076,107529,75970,51889,18057
"Illinois",12419293,173373,703176,929858,905097,5540389,1744845,894002,533947,360055,850843,1811674,891759,919915,1983870,996886,986984,1626742,873812,752930,1040633,772247,535747,192031
"Indiana",6080485,84517,338698,443273,443416,2671041,879213,453482,264492,188990,425731,831125,409035,422090,960703,478207,482496,816865,437122,379743,529844,395393,265880,91558
"Iowa",2926324,37338,151075,202603,210547,1238342,430083,226420,132075,94345,203663,363060,177259,185801,445199,217897,227302,392794,212663,180131,257412,211935,159160,65118
"Kansas",2688418,37977,150731,195574,204018,1169489,400285,210118,124693,85425,190167,348853,172975,175878,420351,207549,212802,354147,192679,161468,220253,175916,128543,51770
"Kentucky",4041769,53156,212745,279258,279481,1782809,572036,289004,170178,118826,283032,568108,281134,286974,642665,321931,320734,556932,293976,262956,372595,273943,172589,58261
"Louisiana",4468976,64092,253300,336780,347912,1984644,691516,365945,217715,148230,325571,601162,296161,305001,691966,343128,348838,586271,315768,270503,379048,282925,175328,58676
"Maine",1274923,13456,57270,83022,92252,529738,159141,89485,55238,34247,69656,157617,71951,85666,212980,104149,108831,192596,101921,90675,123187,96196,63890,23316
"Maryland",5296486,69647,283746,391318,392135,2334925,670248,356119,219326,136793,314129,748521,342870,405651,916156,464788,451368,755032,399390,355642,470376,321285,211120,66902
"Massachusetts",6349097,77998,319270,430861,431247,2809799,820016,415737,240688,175049,404279,926788,434024,492764,1062995,540593,522402,873353,461945,411408,546407,427830,315640,116692
"Michigan",9938444,131188,540817,745181,747012,4324250,1363706,719867,431569,288298,643839,1362171,654629,707542,1598373,787367,811006,1367939,734905,633034,863039,642880,433678,142460
"Minnesota",4919479,65072,264522,355894,374995,2194165,696845,374362,226411,147951,322483,673138,319826,353312,824182,412490,411692,665696,364247,301449,404869,295825,212840,85601
"Mississippi",2844658,41217,163147,216920,218742,1253305,446135,233188,135161,98027,212947,381798,192526,189272,425372,212309,213063,361981,192111,169870,245823,185710,114922,42891
"Missouri",5595211,72842,297056,398898,412080,2409096,782794,413296,246816,166480,369498,738733,362305,376428,887569,443250,444319,742462,395616,346846,507398,393226,263582,98571
"Montana",902195,10732,44137,61963,69298,374909,129689,71310,43932,27378,58379,103279,51104,52175,141941,66580,75361,135088,73398,61690,85119,62519,43093,15337
"Nebraska",1711263,23459,93589,123445,128934,742347,255240,134909,80815,54094,120331,223273,112049,111224,263834,130027,133807,225754,122714,103040,141540,115699,82543,33953
"Nevada",1998257,29046,116771,149322,139193,885747,257175,127169,77467,49702,130006,306611,148726,157885,321961,165910,156051,269050,140214,128836,190199,131775,70165,16989
"New Hampshire",1235786,14006,61679,88537,93255,536694,155454,86688,52085,34603,68766,160061,71355,88706,221179,109654,111525,183986,98117,85869,109659,78327,51412,18231
"New Jersey",8414350,110298,453487,604529,590577,3629441,1005295,525216,328667,196549,480079,1189040,544917,644123,1435106,727924,707182,1158898,611357,547541,753984,574669,402468,135999
"New Mexico",1819046,26335,104293,141171,147309,783142,267042,145751,89466,56285,121291,234091,115387,118704,282009,140378,141631,245819,131000,114819,158752,117745,71174,23306
"New York",18976457,243891,995526,1351857,1332433,8363475,2531853,1287544,766400,521144,1244309,2757324,1304725,1452599,3074298,1566083,1508215,2552936,1341138,1211798,1687987,1276046,860818,311488
"North Carolina",8049313,110654,428855,562553,551367,3617974,1117439,539931,310618,229313,577508,1213415,601522,611893,1287120,655440,631680,1085150,570411,514739,723712,533777,329810,105461
"North Dakota",642200,7660,31740,42982,47464,279012,104121,53618,31003,22615,50503,76887,38792,38095,98004,46991,51013,85431,47436,37995,53433,45901,33851,14726
"Ohio",11353140,148468,606462,816346,827811,4871006,1545796,816868,489252,327616,728928,1519894,735582,784312,1805316,883771,921545,1566384,834831,731553,1008906,790252,540709,176796
"Oklahoma",3450654,47533,188820,244525,252029,1491707,516538,269373,159453,109920,247165,451647,229026,222621,523522,259131,264391,453761,240805,212956,316329,242499,156276,57175
"Oregon",3421399,44189,178816,234474,242098,1472102,474833,244427,146949,97478,230406,470695,233850,236845,526574,255751,270823,507155,271315,235840,304388,219342,161404,57431
"Pennsylvania",12281054,141431,586373,827945,863849,5105634,1597072,850986,502623,348363,746086,1560486,732701,827785,1948076,951400,996676,1705032,908650,796382,1131625,969272,712326,237567
"Rhode Island",1048319,12206,51690,71905,71370,457894,147258,75445,40651,34794,71813,140326,64732,75594,170310,85364,84946,141863,75429,66434,88989,73684,57821,20897
"South Carolina",4012012,53947,210732,285243,290479,1763046,577091,295377,169240,126137,281714,560831,276855,283976,625124,314558,310566,550321,287778,262543,372911,270048,165016,50269
"South Dakota",754844,10239,40830,54486,59463,321664,115265,62463,37631,24832,52802,91013,45084,45929,115386,56587,58799,97682,53865,43817,62349,53129,38916,16086
"Tennessee",5689283,75127,299753,395813,395155,2499957,781529,395184,232673,162511,386345,815901,403829,412072,902527,453327,449200,786916,412704,374212,533251,382852,238994,81465
"Texas",20851820,330770,1293858,1654184,1631192,9659957,3175636,1636232,976755,659477,1539404,3162083,1591522,1570561,3322238,1688883,1633355,2611137,1416178,1194959,1598190,1142608,691984,237940
"Utah",2233169,44605,164773,193033,192288,1068030,441430,216278,123999,92279,225152,327064,178474,148590,299536,150695,148841,237710,131665,106045,142508,101548,66923,21751
"Vermont",608827,6381,27608,41101,45397,260078,83622,45770,27036,18734,37852,74567,34182,40385,101889,49376,52513,93832,50107,43725,56920,40683,26831,9996
"Virginia",7078515,92708,369274,495084,495955,3202294,964639,484065,285241,198824,480574,1036965,497172,539793,1200690,610810,589880,999256,526221,473035,631611,432456,272611,87266
"Washington",5894121,77740,316566,425909,434836,2634370,818153,427968,258792,169176,390185,841130,403652,437478,975087,483950,491137,845972,454223,391749,496580,337166,240897,84085
"West Virginia",1808344,20176,81629,111150,116182,747030,245687,125578,73256,52322,120109,229094,113577,115517,272249,129816,142433,270466,141229,129237,184816,148463,96653,31779
"Wisconsin",5363675,67474,274866,379484,403074,2346177,764487,407195,243858,163337,357292,706168,333913,372255,875522,435255,440267,732306,397693,334613,457741,355307,251621,95625
"Wyoming",493782,6130,24810,34127,38376,213977,75358,41903,25430,16473,33455,59854,30084,29770,78765,36482,42283,74079,40701,33378,44590,31343,19615,6735
