"Hispanic - Total"
"Race - Total"
"Sex - Total"

Age,"Total","under 1","1-4","5-9","10-14","15-44","15-24","15-19","15-17","18-19","20-24","25-34","25-29","30-34","35-44","35-39","40-44","45-54","45-49","50-54","55-64","65-74","75-84","85 and over"
"State",
"Alabama",4661900,62655,247849,306980,308477,1878306,646734,328187,195916,132271,318547,608443,321339,287104,623129,308381,314748,674179,341798,332381,541787,344879,211709,85079
"Alaska",686293,11127,40956,47651,47916,305207,106483,51493,32226,19267,54990,103930,57361,46569,94794,47200,47594,108317,54249,54068,74842,31058,14375,4844
"Arizona",6500180,106851,409059,471857,445791,2680368,875606,444319,273663,170656,431287,933354,488408,444946,871408,444326,427082,845866,439914,405952,677815,444511,295077,122985
"Arkansas",2855390,41509,160561,191557,189446,1137988,383568,197229,119408,77821,186339,381564,202137,179427,372856,184911,187945,396011,202002,194009,331113,214601,133929,58675
"California",36756666,562256,2142403,2491973,2534716,16091480,5486970,2768860,1633182,1135678,2718110,5254529,2713658,2540871,5349981,2687306,2662675,5152065,2698793,2453272,3667277,2126600,1375433,612463
"Colorado",4939456,74316,283964,335421,315409,2129158,664219,323571,198025,125546,340648,744740,388401,356339,720199,367614,352585,742773,382441,360332,547321,279050,164758,67286
"Connecticut",3501252,42446,169191,218859,233080,1390702,473747,250053,148637,101416,223694,405282,205078,200204,511673,238987,272686,560693,290600,270093,408274,236780,162116,79111
"Delaware",873092,12196,47123,55816,55176,350565,120382,61852,35918,25934,58530,109035,56294,52741,121148,58629,62519,128055,65965,62090,102473,64338,41232,16118
"District of Columbia",591833,7886,28466,28611,27879,288300,94743,40829,19174,21655,53914,108818,60545,48273,84739,44341,40398,76971,39464,37507,63072,36730,22774,11144
"Florida",18328340,232050,908466,1080900,1082099,7090172,2308053,1159418,700756,458662,1148635,2295473,1201692,1093781,2486646,1208140,1278506,2609182,1355230,1253952,2137674,1536147,1130284,521366
"Georgia",9685744,149167,591354,711353,675941,4187887,1340902,687846,421026,266820,653056,1384873,715744,669129,1462112,736720,725392,1378617,724950,653667,1010401,553396,305209,122419
"Hawaii",1288198,18472,68735,75483,74242,529382,173145,81358,48311,33047,91787,182028,97066,84962,174209,88313,85896,179811,90452,89359,152006,89685,68701,31681
"Idaho",1523816,24771,96975,113859,109216,621672,215425,111368,67819,43549,104057,213017,114788,98229,193230,97722,95508,208206,105692,102514,166967,97731,58918,25501
"Illinois",12901563,185298,709070,865900,871794,5455020,1858677,939918,547198,392720,918759,1787690,919729,867961,1808653,900606,908047,1872708,970596,902112,1366465,812419,523968,238921
"Indiana",6376792,89823,353266,434007,434816,2603160,878632,451711,272769,178942,426921,853697,444515,409182,870831,429612,441219,938493,478828,459665,709388,423423,271766,118650
"Iowa",3002555,41481,159840,191602,193826,1182767,432262,216795,125864,90931,215467,369243,194600,174643,381262,185174,196088,443995,224461,219534,344490,213534,152321,78699
"Kansas",2802134,42425,160104,192365,187678,1139193,411027,199858,117913,81945,211169,367918,197312,170606,360248,179137,181111,407888,207174,200714,305775,179670,124717,62319
"Kentucky",4269245,57620,226981,275116,274173,1735205,555568,282620,174174,108446,272948,586731,309583,277148,592906,292385,300521,631949,321196,310753,502334,307517,183591,74759
"Louisiana",4410796,63875,246841,304629,299379,1826987,664524,328634,193249,135385,335890,594481,329002,265479,567982,275830,292152,639360,324024,315336,489411,288955,179109,72250
"Maine",1316456,14310,57149,72170,77882,497847,166038,87655,53356,34299,78383,149385,76454,72931,182424,85525,96899,219574,110781,108793,178337,103257,67211,28719
"Maryland",5633597,75362,296425,361155,366710,2340626,784401,407227,240931,166296,377174,730988,379506,351482,825237,393293,431944,875065,456130,418935,638689,365801,221880,91884
"Massachusetts",6497967,78536,305032,384444,399518,2707831,925382,460398,259503,200895,464984,831789,428001,403788,950660,451903,498757,1003010,522439,480571,748498,428925,299076,143097
"Michigan",10003422,127680,497846,641124,679277,4047073,1418751,739588,444271,295317,679163,1245034,649670,595364,1383288,671449,711839,1536937,779987,756950,1169163,680099,437479,186744
"Minnesota",5220393,73528,284943,335904,341187,2142434,726371,366844,219082,147762,359527,696243,367926,328317,719820,346820,373000,812374,422789,389585,579504,330214,213451,106854
"Mississippi",2938618,45305,175508,207736,205999,1202339,438136,223847,132172,91675,214289,385007,204939,180068,379196,188673,190523,409804,208064,201740,320329,197665,121698,52235
"Missouri",5911605,82359,317091,381804,388782,2381522,811896,412660,251433,161227,399236,782527,420703,361824,787099,384727,402372,881577,454100,427477,673235,416152,267405,121678
"Montana",967440,12773,48341,58294,60436,372043,135746,66597,40514,26083,69149,119841,66190,53651,116456,56241,60215,152288,74342,77946,125953,71887,45179,20246
"Nebraska",1783432,27554,104538,121352,118018,719367,262190,128885,75533,53352,133305,232435,124079,108356,224742,111611,113131,256918,130889,126029,194838,117097,82742,41008
"Nevada",2600167,40346,158829,183821,177619,1089478,319565,164868,107186,57682,154697,388230,200223,188007,381683,194142,187541,361580,187433,174147,291777,171044,93743,31930
"New Hampshire",1315809,14610,60687,77028,84899,520357,175248,92596,56134,36462,82652,150660,77753,72907,194449,91172,103277,222924,115948,106976,165326,89190,56308,24480
"New Jersey",8682661,114597,442824,556446,572584,3510101,1130452,590308,361131,229177,540144,1067311,522375,544936,1312338,628222,684116,1358722,713200,645522,976446,585161,390470,175310
"New Mexico",1984356,30431,117892,136849,131678,805851,288697,144468,85600,58868,144229,267510,144302,123208,249644,123219,126425,277858,141929,135929,223746,137341,86861,35849
"New York",19490297,250282,958213,1173057,1222588,8158231,2802996,1403050,803876,599174,1399946,2560346,1309330,1251016,2794889,1351159,1443730,2911367,1512572,1398795,2208887,1332093,877625,397954
"North Carolina",9222414,134248,518575,623448,594738,3831668,1256065,628992,372668,256324,627073,1234629,619660,614969,1340974,675837,665137,1325479,684532,640947,1055206,618200,372798,148054
"North Dakota",641481,8998,32898,36706,38826,263162,108249,48165,25620,22545,60084,80504,45707,34797,74409,36293,38116,94271,46563,47708,72344,43583,32921,17772
"Ohio",11485910,152581,591169,736968,759670,4590870,1571723,809174,489989,319185,762549,1463468,774535,688933,1555679,759216,796463,1751170,886417,864753,1332645,807194,534994,228649
"Oklahoma",3642361,55590,210957,248202,239121,1479166,522081,251880,152165,99715,270201,498257,274242,224015,458828,229279,229549,511643,260398,251245,407045,258707,162106,69824
"Oregon",3790060,50484,192999,234635,237396,1534279,490223,247556,152061,95495,242667,533938,277891,256047,510118,258893,251225,560176,277168,283008,476093,262024,165745,76229
"Pennsylvania",12448279,148912,588550,733122,775850,4877273,1719514,890183,515570,374613,829331,1465259,753861,711398,1692500,809849,882651,1926053,974024,952029,1487948,921605,678724,310242
"Rhode Island",1050788,12613,48321,60304,64678,434905,157126,79678,42624,37054,77448,129900,67074,62826,147879,70422,77457,161431,82733,78698,120890,69979,51666,26001
"South Carolina",4479800,61083,241941,290458,285878,1818126,625014,321141,186867,134274,303873,581695,302437,279258,611417,302736,308681,641477,325734,315743,544542,326606,193085,76604
"South Dakota",804194,12368,46198,52511,52934,313905,117167,57450,34298,23152,59717,100679,54564,46115,96059,46355,49704,117470,59111,58359,92708,55681,39774,20645
"Tennessee",6214888,85191,331143,404623,403076,2524606,805173,412685,254561,158124,392488,844584,442072,402512,874849,433715,441134,911933,465109,446824,734690,448844,264620,106162
"Texas",24326974,415068,1612239,1879808,1750289,10540819,3523088,1764542,1068367,696175,1758546,3578265,1868470,1709795,3439466,1762235,1677231,3299321,1727884,1571437,2357207,1332453,806898,332872
"Utah",2736424,57069,211847,240628,213268,1228432,456408,213463,126823,86640,242945,445526,250767,194759,326498,172851,153647,313484,161797,151687,225494,131588,81716,32898
"Vermont",621270,6588,26047,33517,37058,242818,87399,45231,25720,19511,42168,70827,36599,34228,84592,39541,45051,104057,51896,52161,84536,45801,28484,12364
"Virginia",7769089,107004,415668,497586,490349,3284355,1081069,535634,312594,223040,545435,1063831,550824,513007,1139455,562590,576865,1157389,601448,555941,876161,513617,305267,121693
"Washington",6549224,88206,344913,415226,420798,2733393,882410,441718,272032,169686,440692,925619,487972,437647,925364,463994,461370,990335,501514,488821,772476,416279,252738,114860
"West Virginia",1814468,21093,84342,105050,106501,697910,227161,116745,69172,47573,110416,231075,118571,112504,239674,118590,121084,273872,133968,139904,240633,149782,96783,38502
"Wisconsin",5627967,74155,288122,353103,362255,2278148,790691,397813,236777,161036,392878,719384,379968,339416,768073,365127,402946,874859,450929,423930,647179,378668,254324,117154
"Wyoming",532668,7984,30269,34231,33711,213580,76242,37398,22262,15136,38844,71973,39826,32147,65365,32768,32597,82508,40217,42291,64771,35380,21249,8985
