STATE	TOTAL VOTE	Democratic	Republican
WOODROW WILSON	CHARLES E. HUGHES
Votes	%	EV	Votes	%	EV

Alabama	131,142	99,409	75.6	12	28,809	21.9	 
Arizona	58,019	33,170	57.2	3	20,522	35.4	 
Arkansas	168,348	112,186	66.6	9	47,148	28.0	 
California	999,250	465,936	46.6	13	462,516	46.3	 
Colorado	294,375	178,816	60.5	6	102,308	34.8	 
Connecticut	213,874	99,786	46.7	 	106,514	49.8	7
Delaware	51,810	24,753	47.8	 	26,011	50.2	3
Florida	80,734	55,984	69.3	6	14,611	18.1	 
Georgia	158,690	125,845	79.3	14	11,225	7.1	 
Idaho	134,615	70,054	52.0	4	55,368	41.1	 
Illinois	2,192,707	950,229	43.3	 	1,152,549	52.6	29
Indiana	718,853	334,063	46.5	 	341,005	47.4	15
Iowa	518,738	221,699	42.7	 	280,439	54.1	13
Kansas	629,813	314,588	49.9	10	277,658	44.1	 
Kentucky	520,078	269,990	51.9	13	241,854	46.5	 
Louisiana	92,974	79,875	85.9	10	6,466	7.0	 
Maine	136,314	64,033	47.0	 	69,508	51.0	6
Maryland	262,039	138,359	52.8	8	117,347	44.8	 
Massachusetts	531,822	247,885	46.6	 	268,784	50.5	18
Michigan	646,873	283,993	43.9	 	337,952	52.2	15
Minnesota	387,367	179,155	46.2	 	179,544	46.3	12
Mississippi	86,679	80,422	92.8	10	4,253	4.9	 
Missouri	786,773	398,032	50.6	18	369,339	46.9	 
Montana	178,009	101,104	56.8	4	66,933	37.6	 
Nebraska	287,315	158,827	55.3	8	117,771	41.0	 
Nevada	33,314	17,776	53.4	3	12,127	36.4	 
New Hampshire	89,127	43,781	49.1	4	43,725	49.1	 
New Jersey	494,442	211,018	42.7	 	268,982	54.4	14
New Mexico	66,879	33,693	50.4	3	31,097	46.5	 
New York	1,706,305	759,426	44.5	 	879,238	51.5	45
North Carolina	289,837	168,383	58.1	12	120,890	41.7	 
North Dakota	115,390	55,206	47.8	5	53,471	46.3	 
Ohio	1,165,091	604,161	51.9	24	514,753	44.2	 
Oklahoma	292,327	148,123	50.7	10	97,233	33.3	 
Oregon	261,650	120,087	45.9	 	126,813	48.5	5
Pennsylvania	1,297,189	521,784	40.2	 	703,823	54.3	38
Rhode Island	87,816	40,394	46.0	 	44,858	51.1	5
South Carolina	63,950	61,845	96.7	9	1,550	2.4	 
South Dakota	128,942	59,191	45.9	 	64,217	49.8	5
Tennessee	272,190	153,280	56.3	12	116,223	42.7	 
Texas	372,467	286,514	76.9	20	64,999	17.5	 
Utah	143,145	84,145	58.8	4	54,137	37.8	 
Vermont	64,475	22,708	35.2	 	40,250	62.4	4
Virginia	153,993	102,825	66.8	12	49,358	32.1	 
Washington	380,994	183,388	48.1	7	167,208	43.9	 
West Virginia	289,671	140,403	48.5	1	143,124	49.4	7
Wisconsin	447,134	191,363	42.8	 	220,822	49.4	13
Wyoming	51,906	28,376	54.7	3	21,698	41.8	 


Read more at the American Presidency Project: 1916 Presidential Election http://www.presidency.ucsb.edu/showelection.php?year=1916#ixzz2inF7GCSK
