"","x"
"1","9"
"2","6"
"3","3"
"4","5"
"5","6"
"6","0"
"7","0"
"8","0"
"9","6"
"10","9"
"11","6"
"12","2"
"13","0"
"14","4"
"15","0"
"16","3"
"17","1"
"18","1"
"19","8"
"20","6"
"21","2"
"22","2"
"23","8"
"24","7"
"25","6"
"26","2"
"27","0"
"28","5"
"29","8"
"30","3"
"31","7"
"32","0"
"33","0"
"34","0"
"35","7"
"36","9"
"37","2"
"38","0"
"39","0"
"40","7"
"41","0"
"42","2"
"43","1"
"44","0"
"45","7"
"46","1"
"47","0"
"48","4"
"49","8"
"50","0"
"51","3"
"52","5"
"53","5"
"54","3"
"55","0"
"56","6"
"57","5"
"58","9"
"59","2"
"60","2"
"61","9"
"62","0"
"63","1"
"64","6"
"65","0"
"66","9"
"67","1"
"68","3"
"69","7"
"70","1"
"71","8"
"72","3"
"73","7"
"74","2"
"75","2"
"76","9"
"77","2"
"78","1"
"79","4"
"80","1"
"81","1"
"82","0"
"83","7"
"84","2"
"85","5"
"86","5"
"87","7"
"88","8"
"89","8"
"90","2"
"91","9"
"92","2"
"93","1"
"94","2"
"95","8"
"96","0"
"97","7"
"98","0"
"99","0"
"100","9"
"101","0"
"102","3"
"103","7"
"104","5"
"105","0"
"106","7"
"107","2"
"108","4"
"109","7"
"110","9"
"111","3"
"112","0"
"113","9"
"114","9"
"115","7"
"116","0"
"117","5"
"118","7"
"119","7"
"120","6"
"121","8"
"122","5"
"123","2"
"124","0"
"125","6"
"126","8"
"127","6"
"128","0"
"129","1"
"130","4"
"131","2"
"132","1"
"133","0"
"134","1"
"135","4"
"136","1"
"137","2"
"138","0"
"139","7"
"140","7"
"141","2"
"142","6"
"143","6"
"144","3"
"145","3"
"146","2"
"147","2"
"148","1"
"149","0"
"150","9"
"151","6"
"152","0"
"153","2"
"154","4"
"155","9"
"156","9"
"157","1"
"158","8"
"159","1"
"160","0"
"161","0"
"162","9"
"163","0"
"164","6"
"165","8"
"166","2"
"167","9"
"168","0"
"169","3"
"170","3"
"171","4"
"172","0"
"173","9"
"174","3"
"175","4"
"176","0"
"177","8"
"178","1"
"179","0"
"180","4"
"181","1"
"182","0"
"183","4"
"184","0"
"185","1"
"186","0"
"187","5"
"188","4"
"189","1"
"190","4"
"191","1"
"192","8"
"193","1"
"194","0"
"195","1"
"196","5"
"197","7"
"198","2"
"199","3"
"200","8"
"201","3"
"202","9"
"203","8"
"204","0"
"205","0"
"206","0"
"207","1"
"208","8"
"209","0"
"210","0"
"211","1"
"212","8"
"213","1"
"214","0"
"215","8"
"216","0"
"217","6"
"218","8"
"219","0"
"220","9"
"221","0"
"222","9"
"223","8"
"224","0"
"225","3"
"226","1"
"227","1"
"228","8"
"229","2"
"230","5"
"231","2"
"232","2"
"233","4"
"234","2"
"235","2"
"236","1"
"237","6"
"238","4"
"239","1"
"240","5"
"241","2"
"242","5"
"243","5"
"244","1"
"245","0"
"246","4"
"247","5"
"248","5"
"249","1"
"250","8"
"251","1"
"252","8"
"253","4"
"254","2"
"255","8"
"256","4"
"257","6"
"258","0"
